anonymous,author_shopid,author_username,cat_id,cmtid,comment,count_rating_with_image,count_with_context,ctime,editable,item_id,mtime,orderid,product_title,rating,rating_count0,rating_count1,rating_count2,rating_count3,rating_count4,rating_count5,rating_star,shop_id,userid
FALSE,59628914,dhita.2,3404,2449603661,"Langsung dikirim akunnya gak lama setelah pesan. Dan responnya cepat, sesuai jam buka toko juga. Walaupun sudah malam, krn belum jam 10 malam, tetap lgsg dikirim dan cepat respon. Padahal kirain delay gitu sampai besok. Good job!! ",842,1156,1590520118,1,4424230615,1590520118,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1,4661,7,0,2,6,7804,5,43809563,59630344
,,,,,,,,,,,,,,,,,,,,,,,
FALSE,2664237,annisaretno,3404,2453275163,"Terima kasih atas respon dan pelayanannya, informasi yg dberikan jelas banget dan sellernya ramah.",842,1156,1590589692,1,4424230615,1590589692,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1,4661,7,0,2,6,7804,5,43809563,2665518
,,,,,,,,,,,,,,,,,,,,,,,
FALSE,41836023,uliadewita,3404,2461617253,"Langganan kak
Recommended seller..
Kalau ada masalah netflixnya tolong bantu ya kak
🙏",842,1156,1590749935,1,4424230615,1590749935,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1,4661,7,0,2,6,7804,5,43809563,41837410
,,,,,,,,,,,,,,,,,,,,,,,
TRUE,97024245,a*****s,3404,2440122711,"selama belanja disini pelayanan cepat, adminnya jg gercep balesinnya, cuma lamanya ketika benerin akun incorrect password sm inactive aja sih tp wajar aja abisnya pesanan toko ini jg banyak kan, tp pasti dibenerin lg kok asal sabar.",842,1156,1590251092,2,4424230615,1590299431,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1,4661,7,0,2,6,7804,5,43809563,97025723
,,,,,,,,,,,,,,,,,,,,,,,
FALSE,13809741,melz_belle,3404,2331799256,Bisa langsung di gunakan. Respon seller Ok.. Semoga kedepannya tdk ada kendala. ,842,1156,1588521425,1,4424230615,1588521425,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1,4661,7,0,2,6,7804,5,43809563,13811045
,,,,,,,,,,,,,,,,,,,,,,,
TRUE,40761953,n*****u,3404,2438601065,"Makasih kak, prosesnya cepet. Saya bakal order lagi nanti. Pelapak ramah. 👏👍",842,1156,1590223589,2,4424230615,1590364604,,NETFLIX PREMIUM PRIVATE UHD GARANSI FULL ATAU SH,1,4661,7,0,2,6,7804,5,43809563,40763339
,,,,,,,,,,,,,,,,,,,,,,,
TRUE,48257607,v*****a,2902,2359876149,bagus mantap keren wow gila banget amazing baik trusted cepat 100 persen bagus mantap keren wow gila banget amazing good trusted cepat 100 persen bagus mantap keren wow gila banget amazing baik trusted cepat 100 persen bagus mantap keren wow gila banget amazing baik trusted cepat 100 persen bagus ok,922,2182,1588995546,1,2767211185,1588995546,,Nord VPN Lifetime - Bergaransi - Termurah - Bypass Netflix - VPN Netflix - VPN Indihome/Telk,1,7274,89,15,44,88,9088,5,15168157,48258995
,,,,,,,,,,,,,,,,,,,,,,,
